                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.49641,                0.31788,                0.92072,                0.99762,                0.99231,                0.99478,                0.95755,                0.40648,                0.20873,                0.87201,               4.06e-05,               4.06e-05,               4.06e-05
                     47,                 0.4975,                0.32185,                0.91422,                0.99763,                0.99307,                0.99486,                0.95823,                0.40588,                0.20673,                0.87089,              3.928e-05,              3.928e-05,              3.928e-05
                     48,                0.49674,                0.32024,                0.91779,                0.99583,                 0.9928,                0.99497,                0.96093,                0.39429,                0.20469,                0.86844,              3.796e-05,              3.796e-05,              3.796e-05
                     49,                0.48872,                0.31295,                0.91441,                0.99507,                0.99343,                 0.9949,                0.96108,                0.39909,                0.20343,                0.86861,              3.664e-05,              3.664e-05,              3.664e-05
                     50,                0.49013,                0.31171,                0.90928,                0.99699,                0.99234,                0.99497,                0.96208,                0.39153,                0.20316,                0.86856,              3.532e-05,              3.532e-05,              3.532e-05
                     51,                0.47609,                0.30204,                0.90842,                0.99844,                0.99258,                0.99496,                0.96325,                 0.3855,                0.20058,                 0.8639,                3.4e-05,                3.4e-05,                3.4e-05
                     52,                0.48172,                0.30766,                0.91006,                0.99864,                0.99428,                0.99499,                0.96613,                0.37511,                0.19565,                0.85814,              3.268e-05,              3.268e-05,              3.268e-05
                     53,                0.46512,                0.29829,                0.90385,                0.99736,                0.99382,                0.99498,                0.96568,                  0.372,                0.19391,                0.85865,              3.136e-05,              3.136e-05,              3.136e-05
                     54,                0.47103,                 0.2973,                0.90278,                0.99635,                0.99409,                0.99495,                0.96707,                0.37179,                0.19228,                0.85913,              3.004e-05,              3.004e-05,              3.004e-05
                     55,                0.46317,                0.29313,                0.90414,                0.99674,                0.99462,                0.99498,                0.96811,                0.36448,                0.18914,                0.85649,              2.872e-05,              2.872e-05,              2.872e-05
